,Nom,Né le
13914,"Pierre, Vedye Roger",23 mai 1760
13915,"Pierre, Denis Dugat",20 mai 1760
13916,"André, Suzanne d'Albon",15 mai 1760
13917,"Charles, Aimé Bochard",9 mai 1760
13918,Jean Frantz,9 mai 1760
13919,Joseph Cappin,2 mai 1760
13920,"Louis, Gabriel Godet de la Riboulerie",22 avril 1760
13921,"Louis, Marie Duhamel",15 avril 1760
13922,Jean-François Guilhaud-l'Étanche,13 avril 1760
13923,"Charles, François, Jean Pérard",9 avril 1760
13924,"Simon, Nicolas Guyardin",3 avril 1760
13925,"Pierre, Jean-Baptiste Descordes",1er avril 1760
13926,Timothée Becays de la Caussade,30 mars 1760
13927,"Nicolas, François, Marie Enlart",25 mars 1760
13928,"François, Pierre, Ange Mauduyt",23 mars 1760
13929,"Louis, François Peyre",14 mars 1760
13930,"Guillaume, Louis, Isidore Goupy",10 mars 1760
13931,"Louis, Balthazar, Frédéric Prost",7 mars 1760
13932,Fabian Ducournau,6 mars 1760
13933,"Jean, Bernard, Marie Figarol",5 mars 1760
13934,"Louis, Joseph Faure",5 mars 1760
13935,Camille Desmoulins,2 mars 1760
13936,"Paul, Louis, Balthazar Mermoz",1er mars 1760
13937,"François, Nicolas, Léonard Buzot",1er mars 1760
13938,"Etienne, Gilbert de Drée",25 février 1760
13939,"François, Antoine, Louis Bourcier",23 février 1760
13940,"René, Charles, Elisabeth de Ligniville",22 février 1760
13941,"Claude, François, Joseph Reibell",18 février 1760
13942,"Augustin, Rolland, Jean, André, Faustin Chedaneau",16 février 1760
13943,"Marie, Frédéric, Henri Christiani",15 février 1760
13944,"Charles, Henry Nérat",15 février 1760
13945,"Gédéon, Godefroy, Antoine Bouvier",13 février 1760
13946,"Théodore, Albert, Augustin, Alexandre Thélu",12 février 1760
13947,"Mathieu, Joseph, Severin Pervinquière de la Baudonnière",11 février 1760
13948,"Louis, Jean, Samuel Jolly ou Joly",8 février 1760
13949,Antoine Plazanet,31 janvier 1760
13950,"Louis, René, François Bienvenue",29 janvier 1760
13951,"Jérôme, Alexandre Guiot",26 janvier 1760
13952,"Louis, Gonzague, François, Dominique, Léopold Wangen de Géroldseck",22 janvier 1760
13953,Pierre Thoré-Cohendet,19 janvier 1760
13954,Jean-Pierre Danjou,10 janvier 1760
13955,"Louis, Marie Bertrand",10 janvier 1760
13956,"Isaac, Etienne de Larue",4 janvier 1760
13957,"Antoine, Joseph, Casimir de Mirandol",21 décembre 1759
13958,"Louis, François, René de Courtarvel",19 décembre 1759
13959,Anatole Billerey,17 décembre 1759
13960,Jean-François Escudier,16 décembre 1759
13961,"François, Sébastien Gambini",14 décembre 1759
13962,"Constantin, Frédéric, Timoléon Duparc de Barville",13 décembre 1759
13963,Jean-François Leroy,12 décembre 1759
13964,"Auguste, Antoine, Joseph Prouveur de Pont de Grouard",11 décembre 1759
13965,Bertrand Pinac,11 décembre 1759
13966,Jean-Claude Clausel de Coussergues,4 décembre 1759
13967,Jean-Baptiste Salle,28 novembre 1759
13968,"Jacques, Marie Chottard",27 novembre 1759
13969,Gatien Christophe,21 novembre 1759
13970,Dieudonné Dubois des Vosges,20 novembre 1759
13971,Jean-Baptiste Dalmassy,19 novembre 1759
13972,"Germain, Théodore Abolin",17 novembre 1759
13973,"François, Clément, Privat Garilhe",15 novembre 1759
13974,Marie Jean Hérault de Séchelles,15 novembre 1759
13975,Joseph Lambert-Lauterbourg,14 novembre 1759
13976,"Jean-Baptiste, François Albert",11 novembre 1759
13977,"Abraham, Thomas Leseigneur",9 novembre 1759
13978,"Claude, Pierre Bouvier",9 novembre 1759
13979,"Jean-Marie, Austremoine Desribes",7 novembre 1759
13980,"Joseph, Marie de Gourlay",7 novembre 1759
13981,"Pierre, Nicolas, Chrysostome Legendre Ou le Gendre",4 novembre 1759
13982,"Antoine, Gérard Scellier",3 novembre 1759
13983,Jean-Baptiste Voysin de Gartempe,29 octobre 1759
13984,François Ligeret de Chazey,28 octobre 1759
13985,"Louis, François, Bertrand du Pont-d'Aubevoye de Lauberdière",27 octobre 1759
13986,"Georges, Jacques Danton",26 octobre 1759
13987,"François, Xavier, Marie, Joseph Dumonceaux",25 octobre 1759
13988,Julien Hardouin-Rivery,23 octobre 1759
13989,"Alexandre, Romain Crochon",22 octobre 1759
13990,François Chabot,22 octobre 1759
13991,"Claude, Louis Masuyer",21 octobre 1759
13992,"Prudent, Jean Bruley",19 octobre 1759
13993,"François, Pierre Leroy",18 octobre 1759
13994,"Jean, Armand de Hercé",12 octobre 1759
13995,"Jean, Gilles, Denis Porte",9 octobre 1759
13996,"Laurent, Mathieu, Gervais Bidault",8 octobre 1759
13997,Etienne Jumentier,7 octobre 1759
13998,Nicolas Reuter,6 octobre 1759
13999,Antoine Durin,5 octobre 1759
14000,"Louis, François, Antoine Arbogast",4 octobre 1759
14001,"Louis, Jacques Grossin de Bouville",21 septembre 1759
14002,Charles Helo,21 septembre 1759
14003,"Jean, François Ricord",21 septembre 1759
14004,Gabriel Perreton,20 septembre 1759
14005,"Charles, Henri Kern",15 septembre 1759
14006,"Jacques, Auxille Verrion",13 septembre 1759
14007,"Jean, Pierre Ribéreau",12 septembre 1759
14008,"Jacques, Marie Abot",7 septembre 1759
14009,"Claude, André Fressenel",4 septembre 1759
14010,"Charles, Philippe, Auguste Corbière",4 septembre 1759
14011,"Jacques, Edmond Regnault de Beaucaron",1er septembre 1759
14012,"Pierre, Joseph, Fleury Jubié",1er septembre 1759
14013,"Pierre, Michel, Bernardin Saglio",29 août 1759
14014,"Louis, François, Pierre Desclozeaux",27 août 1759
14015,Marin Noël des Vergers,19 août 1759
14016,Claude Javogues,19 août 1759
14017,"Etienne, Louis Faure",19 août 1759
14018,"Jean-Baptiste, Claude, Henri Dupuy",18 août 1759
14019,"Jean-Baptiste, Philippe Marcoz",18 août 1759
14020,"Jacques, Frédéric Brackenhoffer",7 août 1759
14021,"Jacques, Pierre, Prothade d'Astorg",1er août 1759
14022,"Claude, Etienne Téallier",1er août 1759
14023,"Nicolas, François, Charles Daireaux",31 juillet 1759
14024,"Henri, Simon Toupot de Bévaux",31 juillet 1759
14025,"Joseph, Louis, Henri Sarret de Coussergues",29 juillet 1759
14026,Claude Alardet,23 juillet 1759
14027,Pierre Guérin des Marchais,14 juillet 1759
14028,Gérard Panneboeter,10 juillet 1759
14029,"Francesco, Alamanno Pazzi",1er juillet 1759
14030,"Marie, Jacques, François, Alexandre Asselin de Villequier",1er juillet 1759
14031,"Pierre, Jacques, François Carpentier",27 juin 1759
14032,Antoine Lemaire-Darion,26 juin 1759
14033,Jean-François Eude,25 juin 1759
14034,"Marie, Joseph, Jacques, François, Cécille Bermond",18 juin 1759
14035,"Nicolas, Charles Tronchon",15 juin 1759
14036,"Philippe, Constant, Joseph Briez",10 juin 1759
14037,"François, Scholastique de Guéhéneuc",4 juin 1759
14038,Jean-François Lepigeon-De-Boisval,3 juin 1759
14039,Jean-Baptiste Le Carpentier,1er juin 1759
14040,Hilaire Casteran,29 mai 1759
14041,"Pierre, Louis, Marie Roze",23 mai 1759
14042,Gilbert Prudon,21 mai 1759
14043,Jean Gros,19 mai 1759
14044,Jean Deval de Guymont de Saumade,16 mai 1759
14045,Mamert Coullion,11 mai 1759
14046,"François, Guillaume, Jean, Stanislas Andrieux",6 mai 1759
14047,"Jean, Joseph Siméon",6 mai 1759
14048,"François, Jean-Baptiste Carelli de Bassy de Cevins",5 mai 1759
14049,"Charles, Alexandre, Marie Dalloz",3 mai 1759
14050,"Léopold, Grégoire Desgranges Cadet",2 mai 1759
14051,Joachim Perez du Gief,30 avril 1759
14052,"Jean-Baptiste, Onésime Philippoteaux",27 avril 1759
14053,"Dominique, Georges, Frédéric Dufour de Pradt",23 avril 1759
14054,Paul Tack,23 avril 1759
14055,Jean Roussilhe,19 avril 1759
14056,"Julien, François Duval-Villebogard",19 avril 1759
14057,Jean-Baptiste Charton,18 avril 1759
14058,Jean-Baptiste Michaud,17 avril 1759
14059,François Becquey,13 avril 1759
14060,"Jean, Antoine de Catellan-Caumont",11 avril 1759
14061,Jean Tartanac,10 avril 1759
14062,Jean-Baptiste Chantrier,2 avril 1759
14063,Pierre Pérignon,1er avril 1759
14064,Pierre Marec,31 mars 1759
14065,"Ernest, Joseph Desmoutier",28 mars 1759
14066,"Louis, Germain Duplan",26 mars 1759
14067,"Joseph, Marie Cusset",26 mars 1759
14068,Sébastien Escanyé,24 mars 1759
14069,"François, Joseph Barrois-Virnot",22 mars 1759
14070,César Faucher,20 mars 1759
14071,"Louis, Marie, Joseph Gossuin",18 mars 1759
14072,"Jean, Etienne, Antoine Bertezène",15 mars 1759
14073,"René, Marie, Maximilien Léopold de Stabenrath",14 mars 1759
14074,Charles de Vos Van Stenwick,11 mars 1759
14075,"Jean-Claude, Michel Gillet",7 mars 1759
14076,Michel Gentil,27 février 1759
14077,"Félix, Joseph, Vital, Thomas Mattei",26 février 1759
14078,"Louis, Charles, Alexandre Boullenger",26 février 1759
14079,Jean Pelet de la Lozère,23 février 1759
14080,"Philippe, Laurent Pons de Verdun",17 février 1759
14081,"Louis, Jacques Rousseau",14 février 1759
14082,"Michel, Laurent de Selys-Longchamps",10 février 1759
14083,"François, Henri Plauche",9 février 1759
14084,"Charles, Paul Lacroix de Chevrières de Saint-Vallier",8 février 1759
14085,"Louis, Gabriel Guérin",6 février 1759
14086,"Antoine, Joseph Alricy",2 février 1759
14087,"Eustache, Antoine Hua",30 janvier 1759
14088,Jean-Baptiste Raulin,27 janvier 1759
14089,Jean-Baptiste Boiron,26 janvier 1759
14090,"François, Paul Legendre",25 janvier 1759
14091,Jean-François Frémont,19 janvier 1759
14092,"Albert, Marie, Auguste Bruneau de Beaumetz",18 janvier 1759
14093,Jacques Euvremer,15 janvier 1759
14094,"André, Antoine, Alexis Vignon-Laversanne",11 janvier 1759
14095,"Jean-François, Adrien Cassaigneau de Saint-Gervais",10 janvier 1759
14096,Nicolas Thiessé,10 janvier 1759
14097,"Joseph, Julien Souhait",9 janvier 1759
14098,"Pierre, Louis Granier",7 janvier 1759
14099,"Théodore, Jacques Pressac-Doré",4 janvier 1759
14100,"Pierre, Claude, Charles Leboucher Dulongchamp",31 décembre 1758
14101,Jean-Baptiste Tanchard,30 décembre 1758
14102,"Joseph, Louis, Claude Colaud de la Salcette",29 décembre 1758
14103,Jean-Baptiste Estaque,27 décembre 1758
14104,"Antoine, Marie, Noël, Julien Vistorte",25 décembre 1758
14105,"Edouard, Charles, Victurnien de Colbert de Maulévrier",24 décembre 1758
14106,"Pierre, Joseph Vallée",18 décembre 1758
14107,"Jean-Baptiste, Anne Delarue-Ducan",17 décembre 1758
14108,"Jacques, Hyacinthe Fabry",13 décembre 1758
14109,Claude Blanc,10 décembre 1758
14110,Pierre Gauthier,6 décembre 1758
14111,"Vincent, Jacques Bodin",3 décembre 1758
14112,"Jean-Baptiste, Guillaume Langlois",1er décembre 1758
14113,"Maximilien, Xavier Képler",28 novembre 1758
14114,"Jean, Nicolas Bassenge",24 novembre 1758
14115,Jean-Marie Ducos,23 novembre 1758
14116,"Etienne, François ,Sébastien Montegut",21 novembre 1758
14117,"Dominique, Ignace, Charles de Hausen de Weidesheim",16 novembre 1758
14118,"François, Omer Granet",16 novembre 1758
14119,Jean-Marie Desfrançais de Lolme,13 novembre 1758
14120,Joseph Cassanyès,11 novembre 1758
14121,"Jacques, Jean, Reymond Maurel",10 novembre 1758
14122,"Joseph, Charles Bera",4 novembre 1758
14123,"André, Charles Membrède",4 novembre 1758
14124,"Jean, Etienne Letailleur",28 octobre 1758
14125,"Jean-François, Charles Leroy",28 octobre 1758
14126,"Louis, Claude Chéron-La-Bruyère",28 octobre 1758
14127,"Charles, Jean, Etienne Thomas-Laprise",26 octobre 1758
14128,"Jean, Bonaventure, Blaise, Hilarion Birotteau",21 octobre 1758
14129,Jean Espert,21 octobre 1758
14130,"Joseph, Anne, Robert Malherbe",20 octobre 1758
14131,"Jean, Henri Couget",20 octobre 1758
14132,"Louis, François, Joseph, Bonaventure de Tryon de Montalembert",18 octobre 1758
14133,"Antoine, Laurent Chorier",16 octobre 1758
14134,Nicolas Barthélemy,12 octobre 1758
14135,"Henri, Guillaume, Mathias Olbers",11 octobre 1758
14136,"Philibert, Antoine Polissard",7 octobre 1758
14137,"René, Richard, Louis Castel",6 octobre 1758
14138,"François, Marie Cailhasson",26 septembre 1758
14139,"Pierre, Marie Baille",23 septembre 1758
14140,"Antoine, Isaac Silvestre de Sacy",22 septembre 1758
14141,Pierre Pourrat,19 septembre 1758
14142,"Joseph, Pierre, Sylvain Cartier-Douineau",17 septembre 1758
14143,"Jean, Guillaume Dimartinelli",15 septembre 1758
14144,"Louis, Joseph Schmits",8 septembre 1758
14145,"Pierre, François, Joseph Hannecart",5 septembre 1758
14146,"Pierre, Jacques Maulde de Loisellerie",3 septembre 1758
14147,Thomas Salgues,2 septembre 1758
14148,"Louis, Sébastien Morel",29 août 1758
14149,Anthelme Ferrand,28 août 1758
14150,Etienne Sauret,23 août 1758
14151,"Joseph, Bernard Lagier la Condamine",20 août 1758
14152,"Sylvain, Phalier Lejeune",19 août 1758
14153,"Marie, Jacques Durand-Fajon",15 août 1758
14154,"Denis, Toussaint Lesage",15 août 1758
14155,"Marie, Félix Faulcon de la Parisière",14 août 1758
14156,Jean-Pierre Pezous,13 août 1758
14157,"Gaspard, Antoine, Jean, Tiburce Degregori",11 août 1758
14158,Armand Gensonné,10 août 1758
14159,"Jean-Marie, Cécile Valentin-Duplantier",5 août 1758
14160,"Anne, Pierre, Donnat Martin-Bergnac",5 août 1758
14161,Denis Gémier des Périchons,5 août 1758
14162,"Edme, Antoine Villiers",1er août 1758
14163,"Jean-Baptiste, Barthélémy Lajard",31 juillet 1758
14164,Jean-Baptiste Astoin,29 juillet 1758
14165,Etienne Tournyol de la Rodde,28 juillet 1758
14166,"Jean, Guillaume Brixhe",27 juillet 1758
14167,"François, Marie, Pantaléon, Galatoire Coffin",27 juillet 1758
14168,"François, Marie Bachelot",26 juillet 1758
14169,"Jean, Isaac Combes-Dounous",22 juillet 1758
14170,Jean-François Lafabrie de la Sylvestrie,20 juillet 1758
14171,Pierre Duvant,19 juillet 1758
14172,Jean-Baptiste Lefranc,12 juillet 1758
14173,"Gabriel, Marie de Riccé",12 juillet 1758
14174,"Marc, Antoine Fournel",10 juillet 1758
14175,"Ernest, Chrysostome Maignet",9 juillet 1758
14176,"Pierre, Joseph Duhem",8 juillet 1758
14177,"Nicolas, Constant Golzart",3 juillet 1758
14178,Martial Constant,1er juillet 1758
14179,"Nicolas, François Delesaulx",1er juillet 1758
14180,"Charles, André Dupin",20 juin 1758
14181,"Denis, Bénigne Dézé",14 juin 1758
14182,"Joseph, Paul Debosque",12 juin 1758
14183,"Pierre, Joseph Demonceaux",7 juin 1758
14184,Noël Chassaignac,5 juin 1758
14185,Jean-François Cornu de La Poype,31 mai 1758
14186,Jean-Baptiste Soulignac,19 mai 1758
14187,Alexandre Besson,15 mai 1758
14188,Anthelme Marin,12 mai 1758
14189,"Maximilien, François, Marie, Isidore, Joseph de Robespierre",6 mai 1758
14190,"Henri, Joseph Blanquart de Bailleul",27 avril 1758
14191,"Jean-Baptiste, Celestin Poulain de Boutancourt",23 avril 1758
14192,"François, Louis, Esprit Dubois",22 avril 1758
14193,Philippe Augier de la Sauzaye,22 avril 1758
14194,"François, Joseph Ritter",19 avril 1758
14195,"Jacques, Barthélemy Noaille",14 avril 1758
14196,"Georges, Antoine Chabot dit Chabot de l'Allier",13 avril 1758
14197,"Paul, Augustin Lozeau",11 avril 1758
14198,"Claude, Joseph Mallarmé",3 avril 1758
14199,Jean-François Blain,2 avril 1758
14200,Paul Gauran,2 avril 1758
14201,"Pierre, François Piorry",1er avril 1758
14202,"Alexandre, Edme, Gabriel Bertrand",19 mars 1758
14203,"François, Paul, Nicolas Anthoine",17 mars 1758
14204,Théodore Chabert,16 mars 1758
14205,"Louis, Archambaud de Douglas",16 mars 1758
14206,"Joseph, Nicolas Pierret",15 mars 1758
14207,"Constant, Joseph, César, Eugène Gossuin",12 mars 1758
14208,"Pierre, Joseph Grangier",12 mars 1758
14209,"Adrien, Alexandre, Marie Hoverlant de Beauwelaère",9 mars 1758
14210,"Hervé, François Lefollet",7 mars 1758
14211,"Jean, Guillaume Chabalier",5 mars 1758
14212,Bernard Descamps,4 mars 1758
14213,Jean-Baptiste Briolat,27 février 1758
14214,"Honoré, Maximin Isnard",24 février 1758
14215,Jacques Boisrot de la Cour,22 février 1758
14216,"Antoine, Charles, Nicolas Duchesne de Gillevoisin",20 février 1758
14217,Jacques Collard,20 février 1758
14218,"Clément, Louis, Charles Berthot",17 février 1758
14219,"Marie, Joseph Dor de Lastours",15 février 1758
14220,Jean-Jacques Fockedey,15 février 1758
14221,"Henri, Jacques, Marie Gouin-Moisant",14 février 1758
14222,"Jean-Baptiste, Magdelaine Fleury",13 février 1758
14223,André Bassaget,12 février 1758
14224,Hubert Pyrot,12 février 1758
14225,Pierre Lehardy,10 février 1758
14226,Jean-Baptiste Grellet de la Rouzière,29 janvier 1758
14227,"Emmanuel, Louis, Jacques, André Castillon",28 janvier 1758
14228,"Joseph, Charlemagne Dameron",28 janvier 1758
14229,Jean-Pierre Barère,27 janvier 1758
14230,Louis Guyardin,21 janvier 1758
14231,"Louis, Nicolas, Pierre, Joseph Dubois",20 janvier 1758
14232,Jacques Isoré,16 janvier 1758
14233,"François, Louis Bourdon de l'Oise",11 janvier 1758
14234,Jacques Vincens-Saint-Laurent,9 janvier 1758
14235,Pierre Ferreri,9 janvier 1758
14236,"Eugène, Balthazar, Crescent Bénard de Moussinières",6 janvier 1758
14237,Charles Ganilh,6 janvier 1758
14238,"Pierre, Vincent Benoist",5 janvier 1758
14239,Bernard Esperou,5 janvier 1758
14240,"Jacques, Nicolas, Jean, Antoine Bouteiller",4 janvier 1758
14241,Bernard Laujacq,1er janvier 1758
14242,Hyacinthe Richaud,30 décembre 1757
14243,Jean-Pierre Duport-Lavillette,26 décembre 1757
14244,Bernard Turgan,22 décembre 1757
14245,Vincent Chapelain,22 décembre 1757
14246,Jean-Baptiste Jourdan,19 décembre 1757
14247,"Pierre, Nicolas Garnot",17 décembre 1757
14248,"André, Joseph Jourdan",15 décembre 1757
14249,"Jean ,César Battelier ou Battellier",13 décembre 1757
14250,"Honoré, François Dequen",8 décembre 1757
14251,Antoine Thévenin,7 décembre 1757
14252,"Jean, Pierre, Casimir de Marcassus de Puymaurin",5 décembre 1757
14253,Etienne Giroult,2 décembre 1757
14254,Edme Larcher,2 décembre 1757
14255,"Alexandre, Eustache Beaussier-Mathon",28 novembre 1757
14256,"Toussaint, Marie Gautier-Lamotte",27 novembre 1757
14257,"Julien, Urbain, François, Marie, Louis, Riel Lefebvre de la Chauvière",24 novembre 1757
14258,"Louis, Charles, Antoine Petet de Beaufranchet d'Ayat",22 novembre 1757
14259,Jean-Baptiste Guillioud,20 novembre 1757
14260,"Pierre, Florent Louvet",20 novembre 1757
14261,"Jean, Aloys, Joseph Bosschaert",16 novembre 1757
14262,"Arnail, François de Jaucourt",14 novembre 1757
14263,"Edme, Alexandre David-Delisle",9 novembre 1757
14264,"Louis, Alexandre Gastin",7 novembre 1757
14265,"Louis, Alexandre Jard-Panvillier",7 novembre 1757
14266,"Pierre, Louis Ichon",6 novembre 1757
14267,Jean Guibal,5 novembre 1757
14268,"César, Jean-Baptiste Falentin de Saintenac",4 novembre 1757
14269,"François, Denis, Toussaint Rouch",1er novembre 1757
14270,François Plagnat,1er novembre 1757
14271,Etienne Huet-Laval,27 octobre 1757
14272,"Pierre, François, Charles Augereau",21 octobre 1757
14273,"Jean-Baptiste, Pierre Senès",21 octobre 1757
14274,"Jacques, Armand Delamare",20 octobre 1757
14275,"Alexandre, Paul Guérin de Chateauneuf-Randon du Tournel",18 octobre 1757
14276,"Maurice, André Gaillard",16 octobre 1757
14277,"Louis, Antoine, Joseph Robin",16 octobre 1757
14278,Jean-Marie Calès,13 octobre 1757
14279,Christophe Dieudonné,12 octobre 1757
14280,"Hue, Jacques, Edouard Dauchy",12 octobre 1757
14281,Charles de Brouckère,6 octobre 1757
14282,"Charles, Malo, François de Lameth",5 octobre 1757
14283,François Abgrall,4 octobre 1757
14284,"Jean, Baptiste, François Pétiniaud",4 octobre 1757
14285,Jean-Baptiste Quirot,3 octobre 1757
14286,"Egide, Marie Sansoni",1er octobre 1757
14287,"Lamoraal, Joachim, Johan Van Burmania Rengers",28 septembre 1757
14288,Nicolas Rolland,24 septembre 1757
14289,"Pierre, Marie, Augustin Guyomar",19 septembre 1757
14290,"Laurent, François Dethier",14 septembre 1757
14291,"Charles, Bruno Francoville",12 septembre 1757
